#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA12	TGM1	9606.ENSP00000272895	9606.ENSP00000206765	0	0	0	0	0.079	0	0	0.951	0.952
BIRC5	UHRF1	9606.ENSP00000301633	9606.ENSP00000479617	0	0	0	0	0.604	0	0	0.290	0.707
BIRC5	UBE2T	9606.ENSP00000301633	9606.ENSP00000494957	0	0	0	0	0.576	0.091	0	0.333	0.720
BIRC5	CDC25C	9606.ENSP00000301633	9606.ENSP00000321656	0	0	0	0	0.511	0	0	0.582	0.787
BIRC5	DEPDC1	9606.ENSP00000301633	9606.ENSP00000412292	0	0	0	0	0.657	0	0	0.501	0.821
BIRC5	EXO1	9606.ENSP00000301633	9606.ENSP00000355506	0	0	0	0	0.604	0.070	0	0.560	0.823
BIRC5	MYC	9606.ENSP00000301633	9606.ENSP00000478887	0	0	0	0	0.091	0.051	0.400	0.702	0.825
BIRC5	TYMS	9606.ENSP00000301633	9606.ENSP00000315644	0	0	0	0	0.616	0	0	0.657	0.862
BIRC5	CDC45	9606.ENSP00000301633	9606.ENSP00000405726	0	0	0	0	0.811	0	0	0.357	0.873
BIRC5	HMMR	9606.ENSP00000301633	9606.ENSP00000377492	0	0	0	0	0.793	0.071	0	0.434	0.882
BIRC5	RRM2	9606.ENSP00000301633	9606.ENSP00000353770	0	0	0	0	0.758	0	0	0.584	0.895
BIRC5	HJURP	9606.ENSP00000301633	9606.ENSP00000414109	0	0	0	0	0.819	0	0	0.535	0.912
BIRC5	CEP55	9606.ENSP00000301633	9606.ENSP00000360540	0	0	0	0	0.806	0	0	0.570	0.913
BIRC5	ZWINT	9606.ENSP00000301633	9606.ENSP00000363055	0	0	0	0	0.770	0	0	0.657	0.917
BIRC5	TK1	9606.ENSP00000301633	9606.ENSP00000468425	0	0	0	0	0.846	0	0	0.501	0.920
BIRC5	KIF4A	9606.ENSP00000301633	9606.ENSP00000363524	0	0	0	0	0.853	0	0	0.516	0.925
BIRC5	TTK	9606.ENSP00000301633	9606.ENSP00000358813	0	0	0	0	0.826	0	0	0.647	0.936
BIRC5	NEK2	9606.ENSP00000301633	9606.ENSP00000355966	0	0	0	0	0.817	0.098	0	0.665	0.940
BIRC5	NUSAP1	9606.ENSP00000301633	9606.ENSP00000499238	0	0	0	0	0.837	0	0	0.724	0.953
BIRC5	CCNA2	9606.ENSP00000301633	9606.ENSP00000481380	0	0	0	0	0.857	0	0	0.707	0.956
BIRC5	CENPF	9606.ENSP00000301633	9606.ENSP00000355922	0	0	0	0	0.779	0	0	0.826	0.960
BIRC5	KIF20A	9606.ENSP00000301633	9606.ENSP00000378356	0	0	0	0	0.903	0.053	0	0.732	0.973
BIRC5	TOP2A	9606.ENSP00000301633	9606.ENSP00000411532	0	0	0	0	0.868	0	0	0.828	0.976
BIRC5	UBE2C	9606.ENSP00000301633	9606.ENSP00000348838	0	0	0	0	0.956	0.091	0	0.819	0.992
BIRC5	CDC20	9606.ENSP00000301633	9606.ENSP00000361540	0	0	0	0	0.954	0.045	0.500	0.811	0.995
BIRC5	CDCA8	9606.ENSP00000301633	9606.ENSP00000362146	0	0	0	0	0.961	0.943	0.800	0.996	0.999
BMP2	TGFBR3	9606.ENSP00000368104	9606.ENSP00000212355	0	0	0	0	0	0.045	0	0.825	0.825
BMP2	COMP	9606.ENSP00000368104	9606.ENSP00000222271	0	0	0	0	0	0.053	0	0.733	0.737
BMP2	IBSP	9606.ENSP00000368104	9606.ENSP00000226284	0	0	0	0	0	0	0	0.773	0.773
BMP2	SPARC	9606.ENSP00000368104	9606.ENSP00000231061	0	0	0	0	0.089	0.091	0	0.669	0.702
BMP2	FGF2	9606.ENSP00000368104	9606.ENSP00000264498	0	0	0	0	0.085	0	0	0.934	0.937
BMP2	CBFB	9606.ENSP00000368104	9606.ENSP00000415151	0	0	0	0	0.059	0	0.750	0.172	0.788
BMP2	SMAD9	9606.ENSP00000368104	9606.ENSP00000369154	0	0	0	0	0.044	0.161	0.500	0.719	0.872
BMP2	BMPER	9606.ENSP00000368104	9606.ENSP00000497748	0	0	0	0	0.053	0.183	0	0.875	0.895
BMP2	SPP1	9606.ENSP00000368104	9606.ENSP00000378517	0	0	0	0	0.059	0	0	0.919	0.921
BMP2	GREM1	9606.ENSP00000368104	9606.ENSP00000498748	0	0	0	0	0	0.069	0.650	0.987	0.995
BPIFA1	CETP	9606.ENSP00000346251	9606.ENSP00000200676	0	0	0	0	0.061	0	0	0.759	0.764
BRAF	MLH1	9606.ENSP00000419060	9606.ENSP00000231790	0	0	0	0	0	0	0	0.876	0.876
BRAF	KRAS	9606.ENSP00000419060	9606.ENSP00000256078	0	0	0	0	0.081	0.870	0.900	0.973	0.999
BRAF	SFN	9606.ENSP00000419060	9606.ENSP00000340989	0	0	0	0	0.067	0.785	0	0.473	0.885
BRAF	QKI	9606.ENSP00000419060	9606.ENSP00000355094	0	0	0	0	0.044	0.045	0.500	0.499	0.740
BRAF	PTEN	9606.ENSP00000419060	9606.ENSP00000361021	0	0	0	0	0.094	0.206	0	0.927	0.943
BRAF	CD274	9606.ENSP00000419060	9606.ENSP00000370989	0	0	0	0	0.073	0	0	0.792	0.799
BRAF	CDKN2A	9606.ENSP00000419060	9606.ENSP00000418915	0	0	0	0	0	0.095	0	0.886	0.892
BRAF	MYC	9606.ENSP00000419060	9606.ENSP00000478887	0	0	0	0	0.055	0.045	0	0.716	0.722
BTNL9	XDH	9606.ENSP00000330200	9606.ENSP00000368727	0	0	0	0	0	0	0	0.988	0.988
BUB1B	DLGAP5	9606.ENSP00000287598	9606.ENSP00000247191	0	0	0	0	0.928	0	0	0.746	0.981
BUB1B	E2F8	9606.ENSP00000287598	9606.ENSP00000250024	0	0	0	0	0.777	0	0	0.294	0.836
BUB1B	CCNB1	9606.ENSP00000287598	9606.ENSP00000256442	0	0	0	0	0.847	0.279	0.720	0.966	0.998
BUB1B	DEPDC1B	9606.ENSP00000287598	9606.ENSP00000265036	0	0	0	0	0.797	0	0	0	0.797
BUB1B	CDCA5	9606.ENSP00000287598	9606.ENSP00000275517	0	0	0	0	0.585	0	0	0.657	0.851
BUB1B	TYMS	9606.ENSP00000287598	9606.ENSP00000315644	0	0	0	0	0.455	0	0	0.508	0.720
BUB1B	RAD54L	9606.ENSP00000287598	9606.ENSP00000361043	0	0	0	0	0.526	0.092	0	0.454	0.745
BUB1B	EXO1	9606.ENSP00000287598	9606.ENSP00000355506	0	0	0	0	0.561	0.073	0	0.564	0.807
BUB1B	CDC25C	9606.ENSP00000287598	9606.ENSP00000321656	0	0	0	0	0.538	0	0	0.604	0.809
BUB1B	CDC45	9606.ENSP00000287598	9606.ENSP00000405726	0	0	0	0	0.592	0.065	0	0.558	0.817
BUB1B	DEPDC1	9606.ENSP00000287598	9606.ENSP00000412292	0	0	0	0	0.797	0	0	0.290	0.850
BUB1B	PCLAF	9606.ENSP00000287598	9606.ENSP00000300035	0	0	0	0	0.797	0	0	0.411	0.875
BUB1B	HMMR	9606.ENSP00000287598	9606.ENSP00000377492	0	0	0	0	0.792	0.115	0	0.412	0.882
BUB1B	HJURP	9606.ENSP00000287598	9606.ENSP00000414109	0	0	0	0	0.847	0	0	0.355	0.897
BUB1B	RRM2	9606.ENSP00000287598	9606.ENSP00000353770	0	0	0	0	0.823	0	0	0.576	0.922
BUB1B	TPX2	9606.ENSP00000287598	9606.ENSP00000300403	0	0	0	0	0.849	0	0	0.595	0.936
BUB1B	CEP55	9606.ENSP00000287598	9606.ENSP00000360540	0	0	0	0	0.841	0	0	0.632	0.939
BUB1B	NUSAP1	9606.ENSP00000287598	9606.ENSP00000499238	0	0	0	0	0.852	0	0	0.696	0.953
BUB1B	MELK	9606.ENSP00000287598	9606.ENSP00000298048	0	0	0	0	0.856	0.046	0	0.683	0.953
BUB1B	KIF4A	9606.ENSP00000287598	9606.ENSP00000363524	0	0	0	0	0.896	0.081	0	0.696	0.968
BUB1B	KIF20A	9606.ENSP00000287598	9606.ENSP00000378356	0	0	0	0	0.911	0.071	0	0.752	0.977
BUB1B	TOP2A	9606.ENSP00000287598	9606.ENSP00000411532	0	0	0	0	0.925	0	0	0.747	0.980
BUB1B	TTK	9606.ENSP00000287598	9606.ENSP00000358813	0	0	0	0	0.865	0.292	0	0.918	0.991
BUB1B	UBE2C	9606.ENSP00000287598	9606.ENSP00000348838	0	0	0	0	0.832	0.287	0.720	0.768	0.991
BUB1B	CCNB2	9606.ENSP00000287598	9606.ENSP00000288207	0	0	0	0	0.835	0.279	0.400	0.914	0.993
BUB1B	CCNA2	9606.ENSP00000287598	9606.ENSP00000481380	0	0	0	0	0.865	0.292	0.500	0.904	0.994
BUB1B	CDCA8	9606.ENSP00000287598	9606.ENSP00000362146	0	0	0	0	0.921	0	0.500	0.862	0.994
BUB1B	ZWINT	9606.ENSP00000287598	9606.ENSP00000363055	0	0	0	0	0.787	0.823	0.500	0.814	0.996
BUB1B	NEK2	9606.ENSP00000287598	9606.ENSP00000355966	0	0	0	0	0.839	0.994	0.500	0.640	0.999
BUB1B	CDC20	9606.ENSP00000287598	9606.ENSP00000361540	0	0	0	0	0.901	0.999	0.800	0.999	0.999
BUB1B	CENPF	9606.ENSP00000287598	9606.ENSP00000355922	0	0	0	0	0.903	0	0.900	0.918	0.999
C20orf85	SNTN	9606.ENSP00000360210	9606.ENSP00000341442	0	0	0	0	0.771	0	0	0	0.771
C5AR1	CD93	9606.ENSP00000347197	9606.ENSP00000246006	0	0	0	0	0.211	0.049	0	0.643	0.708
C5AR1	CFP	9606.ENSP00000347197	9606.ENSP00000247153	0	0	0	0	0.285	0.098	0	0.667	0.766
C5AR1	CXCL8	9606.ENSP00000347197	9606.ENSP00000306512	0	0	0	0	0.152	0	0.500	0.542	0.789
C5AR1	CXCR2	9606.ENSP00000347197	9606.ENSP00000319635	0	0	0	0.711	0.242	0	0.500	0.474	0.783
C6	C8B	9606.ENSP00000263413	9606.ENSP00000360281	0	0	0	0.778	0.213	0.800	0.900	0.137	0.984
C6	C7	9606.ENSP00000263413	9606.ENSP00000322061	0	0	0	0.804	0.221	0.900	0.900	0.465	0.995
C7	CLU	9606.ENSP00000322061	9606.ENSP00000315130	0	0	0	0	0.149	0.292	0.500	0.553	0.847
C7	C8B	9606.ENSP00000322061	9606.ENSP00000360281	0	0	0	0.733	0.123	0.900	0.900	0.145	0.991
C8B	CPB2	9606.ENSP00000360281	9606.ENSP00000181383	0	0	0	0	0.568	0	0	0.370	0.716
C8B	CLU	9606.ENSP00000360281	9606.ENSP00000315130	0	0	0	0	0.086	0.292	0.500	0.375	0.770
CA3	CYP24A1	9606.ENSP00000285381	9606.ENSP00000216862	0	0	0	0	0.076	0	0	0.778	0.786
CA3	CA4	9606.ENSP00000285381	9606.ENSP00000300900	0	0	0.156	0.768	0.054	0	0	0.822	0.845
CA4	CYP24A1	9606.ENSP00000300900	9606.ENSP00000216862	0	0	0	0	0.076	0	0	0.761	0.770
CALCRL	RAMP3	9606.ENSP00000376177	9606.ENSP00000242249	0	0	0	0	0.083	0.926	0.900	0.999	0.999
CALCRL	RAMP2	9606.ENSP00000376177	9606.ENSP00000253796	0	0	0	0	0.128	0.946	0.900	0.999	0.999
CASQ2	LDB3	9606.ENSP00000261448	9606.ENSP00000401437	0	0	0	0	0.467	0.060	0	0.507	0.731
CAT	SOD1	9606.ENSP00000241052	9606.ENSP00000270142	0.115	0	0	0	0.155	0.250	0.792	0.425	0.920
CAV1	CAV2	9606.ENSP00000339191	9606.ENSP00000222693	0	0	0.106	0.852	0.794	0.829	0.900	0.985	0.999
CAV1	CDH1	9606.ENSP00000339191	9606.ENSP00000261769	0	0	0	0	0.066	0	0	0.762	0.768
CAV1	ERBB2	9606.ENSP00000339191	9606.ENSP00000269571	0	0	0	0	0.058	0.127	0	0.704	0.735
CAV1	EGFR	9606.ENSP00000339191	9606.ENSP00000275493	0	0	0	0	0.206	0.882	0.800	0.986	0.999
CAV1	DLC1	9606.ENSP00000339191	9606.ENSP00000276297	0	0	0	0	0.098	0.510	0	0.554	0.785
CAV1	CAVIN2	9606.ENSP00000339191	9606.ENSP00000305675	0	0	0	0	0.141	0.423	0	0.901	0.946
CAV1	CDH5	9606.ENSP00000339191	9606.ENSP00000497290	0	0	0	0	0.096	0	0	0.695	0.712
CAV1	IL6	9606.ENSP00000339191	9606.ENSP00000385675	0	0	0	0	0.084	0	0	0.701	0.714
CAV1	CLDN5	9606.ENSP00000339191	9606.ENSP00000385477	0	0	0	0	0.050	0	0	0.730	0.733
CAV1	PTGS2	9606.ENSP00000339191	9606.ENSP00000356438	0	0	0	0	0.061	0.625	0	0.547	0.826
CAV1	NOSTRIN	9606.ENSP00000339191	9606.ENSP00000394051	0	0	0	0	0.072	0	0.500	0.740	0.869
CAV1	PTEN	9606.ENSP00000339191	9606.ENSP00000361021	0	0	0	0	0	0.345	0	0.872	0.912
CAV1	CD36	9606.ENSP00000339191	9606.ENSP00000415743	0	0	0	0	0.053	0	0	0.956	0.956
CAV1	CAVIN1	9606.ENSP00000339191	9606.ENSP00000349541	0	0	0	0	0.391	0.642	0.400	0.997	0.999
CAV2	CAVIN1	9606.ENSP00000222693	9606.ENSP00000349541	0	0	0	0	0.339	0.091	0	0.878	0.920
CAV2	EGFR	9606.ENSP00000222693	9606.ENSP00000275493	0	0	0	0	0.122	0.742	0.800	0.558	0.977
CAVIN1	EGFR	9606.ENSP00000349541	9606.ENSP00000275493	0	0	0	0	0.762	0.404	0	0.257	0.885
CAVIN1	CAVIN2	9606.ENSP00000349541	9606.ENSP00000305675	0	0	0	0.834	0.230	0.292	0	0.541	0.728
CAVIN1	S100A10	9606.ENSP00000349541	9606.ENSP00000357801	0	0	0	0	0.720	0	0	0.072	0.729
CBFB	MMP13	9606.ENSP00000415151	9606.ENSP00000260302	0	0	0	0	0	0	0.750	0.213	0.794
CBFB	TAL1	9606.ENSP00000415151	9606.ENSP00000294339	0	0	0	0	0	0	0.500	0.700	0.843
CBFB	SOCS3	9606.ENSP00000415151	9606.ENSP00000330341	0	0	0	0	0	0	0.750	0.091	0.763
CBFB	SPP1	9606.ENSP00000415151	9606.ENSP00000378517	0	0	0	0	0.047	0	0.750	0.182	0.788
CBFB	RUNX3	9606.ENSP00000415151	9606.ENSP00000382800	0	0	0	0	0.048	0.905	0.900	0.997	0.999
CBFB	CLDN5	9606.ENSP00000415151	9606.ENSP00000385477	0	0	0	0	0	0	0.750	0	0.750
CBFB	LIFR	9606.ENSP00000415151	9606.ENSP00000398368	0	0	0	0	0	0	0.750	0	0.750
CBFB	ERG	9606.ENSP00000415151	9606.ENSP00000414150	0	0	0	0	0	0.809	0	0.100	0.821
CBFB	NR4A3	9606.ENSP00000415151	9606.ENSP00000482027	0	0	0	0	0	0	0.750	0	0.750
CBLC	EGFR	9606.ENSP00000494162	9606.ENSP00000275493	0	0	0	0	0.081	0.989	0.650	0.301	0.997
CBLC	FGFR4	9606.ENSP00000494162	9606.ENSP00000292408	0	0	0	0	0.083	0.211	0.650	0.046	0.726
CBLC	SH3GL3	9606.ENSP00000494162	9606.ENSP00000320092	0	0	0	0	0	0.095	0.800	0.057	0.814
CBLC	SH3GL2	9606.ENSP00000494162	9606.ENSP00000369981	0	0	0	0	0	0	0.800	0	0.800
CCL18	CXCL13	9606.ENSP00000479955	9606.ENSP00000286758	0	0	0	0	0.263	0	0	0.733	0.795
CCL18	CXCL3	9606.ENSP00000479955	9606.ENSP00000296026	0	0	0	0	0.107	0	0	0.714	0.734
CCL18	CXCL5	9606.ENSP00000479955	9606.ENSP00000296027	0	0	0	0	0.100	0	0	0.733	0.750
CCL18	CXCL8	9606.ENSP00000479955	9606.ENSP00000306512	0	0	0	0	0.208	0	0	0.824	0.855
CCL18	CXCR2	9606.ENSP00000479955	9606.ENSP00000319635	0	0	0	0	0.061	0	0.650	0.400	0.785
CCL18	CXCL2	9606.ENSP00000479955	9606.ENSP00000427279	0	0	0	0	0.107	0	0	0.682	0.704
CCNA2	DLGAP5	9606.ENSP00000481380	9606.ENSP00000247191	0	0	0	0	0.917	0	0	0.655	0.970
CCNA2	E2F8	9606.ENSP00000481380	9606.ENSP00000250024	0	0	0	0	0.660	0.057	0	0.473	0.816
CCNA2	CCNB1	9606.ENSP00000481380	9606.ENSP00000256442	0	0	0	0.731	0.855	0.588	0.400	0.889	0.995
CCNA2	CDCA5	9606.ENSP00000481380	9606.ENSP00000275517	0	0	0	0	0.782	0	0	0.398	0.863
CCNA2	CCNB2	9606.ENSP00000481380	9606.ENSP00000288207	0	0	0.108	0.735	0.856	0.215	0	0.696	0.965
CCNA2	MELK	9606.ENSP00000481380	9606.ENSP00000298048	0	0	0	0	0.846	0.052	0	0.618	0.939
CCNA2	PCLAF	9606.ENSP00000481380	9606.ENSP00000300035	0	0	0	0	0.757	0	0	0.551	0.886
CCNA2	TPX2	9606.ENSP00000481380	9606.ENSP00000300403	0	0	0	0	0.860	0	0	0.691	0.954
CCNA2	TYMS	9606.ENSP00000481380	9606.ENSP00000315644	0	0	0	0	0.768	0	0	0.444	0.865
CCNA2	CDC25C	9606.ENSP00000481380	9606.ENSP00000321656	0	0	0	0	0.688	0	0.500	0.741	0.956
CCNA2	E2F1	9606.ENSP00000481380	9606.ENSP00000345571	0	0	0	0	0.244	0.813	0.900	0.989	0.999
CCNA2	UBE2C	9606.ENSP00000481380	9606.ENSP00000348838	0	0	0	0	0.926	0.081	0.500	0.858	0.994
CCNA2	RRM2	9606.ENSP00000481380	9606.ENSP00000353770	0	0	0	0	0.842	0	0	0.628	0.939
CCNA2	EXO1	9606.ENSP00000481380	9606.ENSP00000355506	0	0	0	0	0.733	0.324	0	0.382	0.879
CCNA2	CENPF	9606.ENSP00000481380	9606.ENSP00000355922	0	0	0	0	0.832	0	0	0.680	0.944
CCNA2	NEK2	9606.ENSP00000481380	9606.ENSP00000355966	0	0	0	0	0.829	0	0	0.681	0.943
CCNA2	TTK	9606.ENSP00000481380	9606.ENSP00000358813	0	0	0	0	0.886	0	0	0.492	0.939
CCNA2	CEP55	9606.ENSP00000481380	9606.ENSP00000360540	0	0	0	0	0.822	0	0	0.586	0.923
CCNA2	CDC20	9606.ENSP00000481380	9606.ENSP00000361540	0	0	0	0	0.897	0.999	0.500	0.970	0.999
CCNA2	CDCA8	9606.ENSP00000481380	9606.ENSP00000362146	0	0	0	0	0.909	0	0	0.493	0.952
CCNA2	ZWINT	9606.ENSP00000481380	9606.ENSP00000363055	0	0	0	0	0.774	0	0	0.580	0.901
CCNA2	KIF4A	9606.ENSP00000481380	9606.ENSP00000363524	0	0	0	0	0.828	0	0	0.417	0.895
CCNA2	HMMR	9606.ENSP00000481380	9606.ENSP00000377492	0	0	0	0	0.802	0	0	0.619	0.921
CCNA2	KIF20A	9606.ENSP00000481380	9606.ENSP00000378356	0	0	0	0	0.920	0	0	0.689	0.974
CCNA2	CDC45	9606.ENSP00000481380	9606.ENSP00000405726	0	0	0	0	0.766	0	0	0.615	0.906
CCNA2	TOP2A	9606.ENSP00000481380	9606.ENSP00000411532	0	0	0	0	0.869	0	0	0.868	0.982
CCNA2	DEPDC1	9606.ENSP00000481380	9606.ENSP00000412292	0	0	0	0	0.797	0	0	0.502	0.894
CCNA2	HJURP	9606.ENSP00000481380	9606.ENSP00000414109	0	0	0	0	0.821	0	0	0.341	0.877
CCNA2	TK1	9606.ENSP00000481380	9606.ENSP00000468425	0	0	0	0	0.482	0	0	0.593	0.780
CCNA2	MYC	9606.ENSP00000481380	9606.ENSP00000478887	0	0	0	0	0.087	0	0	0.720	0.734
CCNA2	UHRF1	9606.ENSP00000481380	9606.ENSP00000479617	0	0	0	0	0.626	0	0	0.338	0.742
CCNA2	NUSAP1	9606.ENSP00000481380	9606.ENSP00000499238	0	0	0	0	0.856	0	0	0.480	0.922
CCNB1	GADD45B	9606.ENSP00000256442	9606.ENSP00000215631	0	0	0	0	0	0.292	0.900	0.615	0.970
CCNB1	DLGAP5	9606.ENSP00000256442	9606.ENSP00000247191	0	0	0	0	0.880	0	0	0.723	0.965
CCNB1	GINS1	9606.ENSP00000256442	9606.ENSP00000262460	0	0	0	0	0.456	0.091	0	0.462	0.711
CCNB1	CDKN2A	9606.ENSP00000256442	9606.ENSP00000418915	0	0	0	0	0.058	0.091	0	0.756	0.772
CCNB1	EXO1	9606.ENSP00000256442	9606.ENSP00000355506	0	0	0	0	0.521	0.328	0	0.350	0.773
CCNB1	PCLAF	9606.ENSP00000256442	9606.ENSP00000300035	0	0	0	0	0.542	0	0	0.574	0.796
CCNB1	CDC45	9606.ENSP00000256442	9606.ENSP00000405726	0	0	0	0	0.556	0.095	0	0.542	0.800
CCNB1	EGFR	9606.ENSP00000256442	9606.ENSP00000275493	0	0	0	0	0.042	0.103	0	0.790	0.804
CCNB1	RGCC	9606.ENSP00000256442	9606.ENSP00000368664	0	0	0	0	0	0	0	0.810	0.810
CCNB1	E2F1	9606.ENSP00000256442	9606.ENSP00000345571	0	0	0	0	0.235	0	0	0.792	0.834
CCNB1	TYMS	9606.ENSP00000256442	9606.ENSP00000315644	0	0	0	0	0.510	0	0	0.688	0.841
CCNB1	DEPDC1B	9606.ENSP00000256442	9606.ENSP00000265036	0	0	0	0	0.822	0	0	0.164	0.845
CCNB1	UBE2T	9606.ENSP00000256442	9606.ENSP00000494957	0	0	0	0	0.790	0.072	0	0.296	0.851
CCNB1	CDCA5	9606.ENSP00000256442	9606.ENSP00000275517	0	0	0	0	0.639	0	0.400	0.445	0.869
CCNB1	DEPDC1	9606.ENSP00000256442	9606.ENSP00000412292	0	0	0	0	0.822	0	0	0.308	0.871
CCNB1	HJURP	9606.ENSP00000256442	9606.ENSP00000414109	0	0	0	0	0.744	0	0	0.516	0.871
CCNB1	MYC	9606.ENSP00000256442	9606.ENSP00000478887	0	0	0	0	0.085	0.292	0	0.818	0.872
CCNB1	TK1	9606.ENSP00000256442	9606.ENSP00000468425	0	0	0	0	0.726	0	0	0.576	0.879
CCNB1	RRM2	9606.ENSP00000256442	9606.ENSP00000353770	0	0	0	0	0.653	0	0	0.739	0.905
CCNB1	NEK2	9606.ENSP00000256442	9606.ENSP00000355966	0	0	0	0	0.782	0	0	0.606	0.910
CCNB1	NUSAP1	9606.ENSP00000256442	9606.ENSP00000499238	0	0	0	0	0.840	0	0	0.543	0.923
CCNB1	KIF4A	9606.ENSP00000256442	9606.ENSP00000363524	0	0	0	0	0.820	0	0	0.636	0.931
CCNB1	TTK	9606.ENSP00000256442	9606.ENSP00000358813	0	0	0	0	0.783	0.071	0	0.706	0.936
CCNB1	CEP55	9606.ENSP00000256442	9606.ENSP00000360540	0	0	0	0	0.814	0	0	0.693	0.940
CCNB1	HMMR	9606.ENSP00000256442	9606.ENSP00000377492	0	0	0	0	0.799	0.091	0	0.709	0.942
CCNB1	TPX2	9606.ENSP00000256442	9606.ENSP00000300403	0	0	0	0	0.836	0.045	0	0.703	0.949
CCNB1	ZWINT	9606.ENSP00000256442	9606.ENSP00000363055	0	0	0	0	0.775	0	0.400	0.660	0.950
CCNB1	KIF20A	9606.ENSP00000256442	9606.ENSP00000378356	0	0	0	0	0.843	0	0	0.722	0.954
CCNB1	SFN	9606.ENSP00000256442	9606.ENSP00000340989	0	0	0	0	0.056	0.099	0.900	0.644	0.965
CCNB1	MELK	9606.ENSP00000256442	9606.ENSP00000298048	0	0	0	0	0.849	0.126	0	0.808	0.972
CCNB1	CDCA8	9606.ENSP00000256442	9606.ENSP00000362146	0	0	0	0	0.843	0	0.400	0.878	0.987
CCNB1	CENPF	9606.ENSP00000256442	9606.ENSP00000355922	0	0	0	0	0.832	0	0.720	0.773	0.988
CCNB1	TOP2A	9606.ENSP00000256442	9606.ENSP00000411532	0	0	0	0	0.859	0.052	0	0.925	0.989
CCNB1	UBE2C	9606.ENSP00000256442	9606.ENSP00000348838	0	0	0	0	0.859	0.072	0.500	0.877	0.990
CCNB1	CDC25C	9606.ENSP00000256442	9606.ENSP00000321656	0	0	0	0	0.508	0.345	0.500	0.951	0.991
CCNB1	CCNB2	9606.ENSP00000256442	9606.ENSP00000288207	0	0	0.067	0.942	0.785	0.803	0.900	0.741	0.998
CCNB1	CDC20	9606.ENSP00000256442	9606.ENSP00000361540	0	0	0	0	0.910	0.989	0.900	0.970	0.999
CCNB2	GADD45B	9606.ENSP00000288207	9606.ENSP00000215631	0	0	0	0	0	0	0.900	0.298	0.926
CCNB2	DLGAP5	9606.ENSP00000288207	9606.ENSP00000247191	0	0	0	0	0.881	0	0	0.790	0.974
CCNB2	GINS2	9606.ENSP00000288207	9606.ENSP00000253462	0	0	0	0	0.778	0.058	0	0.313	0.844
CCNB2	CDCA5	9606.ENSP00000288207	9606.ENSP00000275517	0	0	0	0	0.786	0	0.400	0.782	0.969
CCNB2	DEPDC1	9606.ENSP00000288207	9606.ENSP00000412292	0	0	0	0	0.615	0	0	0.314	0.724
CCNB2	EXO1	9606.ENSP00000288207	9606.ENSP00000355506	0	0	0	0	0.523	0.091	0	0.456	0.744
CCNB2	E2F1	9606.ENSP00000288207	9606.ENSP00000345571	0	0	0	0	0.233	0	0	0.730	0.785
CCNB2	KIF4A	9606.ENSP00000288207	9606.ENSP00000363524	0	0	0	0	0.724	0	0	0.529	0.864
CCNB2	TYMS	9606.ENSP00000288207	9606.ENSP00000315644	0	0	0	0	0.798	0	0	0.374	0.868
CCNB2	TK1	9606.ENSP00000288207	9606.ENSP00000468425	0	0	0	0	0.728	0	0	0.578	0.880
CCNB2	PCLAF	9606.ENSP00000288207	9606.ENSP00000300035	0	0	0	0	0.807	0	0	0.413	0.882
CCNB2	HMMR	9606.ENSP00000288207	9606.ENSP00000377492	0	0	0	0	0.796	0.091	0	0.446	0.888
CCNB2	NEK2	9606.ENSP00000288207	9606.ENSP00000355966	0	0	0	0	0.670	0	0	0.717	0.902
CCNB2	HJURP	9606.ENSP00000288207	9606.ENSP00000414109	0	0	0	0	0.792	0	0	0.564	0.905
CCNB2	CEP55	9606.ENSP00000288207	9606.ENSP00000360540	0	0	0	0	0.811	0	0	0.529	0.907
CCNB2	RRM2	9606.ENSP00000288207	9606.ENSP00000353770	0	0	0	0	0.566	0	0	0.808	0.913
CCNB2	SFN	9606.ENSP00000288207	9606.ENSP00000340989	0	0	0	0	0.049	0.099	0.900	0.176	0.919
CCNB2	ZWINT	9606.ENSP00000288207	9606.ENSP00000363055	0	0	0	0	0.539	0	0.400	0.735	0.920
CCNB2	KIF20A	9606.ENSP00000288207	9606.ENSP00000378356	0	0	0	0	0.842	0	0	0.624	0.938
CCNB2	CDC45	9606.ENSP00000288207	9606.ENSP00000405726	0	0	0	0	0.784	0.095	0	0.764	0.950
CCNB2	TPX2	9606.ENSP00000288207	9606.ENSP00000300403	0	0	0	0	0.835	0.045	0	0.725	0.953
CCNB2	TTK	9606.ENSP00000288207	9606.ENSP00000358813	0	0	0	0	0.852	0.071	0	0.736	0.960
CCNB2	NUSAP1	9606.ENSP00000288207	9606.ENSP00000499238	0	0	0	0	0.848	0	0	0.761	0.962
CCNB2	UBE2C	9606.ENSP00000288207	9606.ENSP00000348838	0	0	0	0	0.861	0.072	0	0.774	0.968
CCNB2	CDCA8	9606.ENSP00000288207	9606.ENSP00000362146	0	0	0	0	0.754	0	0.400	0.838	0.974
CCNB2	CENPF	9606.ENSP00000288207	9606.ENSP00000355922	0	0	0	0	0.828	0	0.400	0.767	0.974
CCNB2	MELK	9606.ENSP00000288207	9606.ENSP00000298048	0	0	0	0	0.852	0.126	0	0.822	0.975
CCNB2	TOP2A	9606.ENSP00000288207	9606.ENSP00000411532	0	0	0	0	0.875	0.052	0	0.809	0.975
