ID	adj.P.Val	P.Value	t	B	logFC	ORF	Chr	Chr.Strand	Chr.From	Chr.To
283987_at	4.57e-09	3.25e-10	6.5175816	12.55905	0.57815264	283987	17	-	70469632	70458435
55342_at	4.61e-09	3.28e-10	6.5160976	12.55067	1.11898482	55342	9	-	124938240	124927235
3735_at	4.68e-09	3.33e-10	-6.513211	12.53436	-0.75412155	3735	16	-	74222823	74219178
63892_at	4.69e-09	3.34e-10	-6.5129578	12.53292	-0.81750177	63892	2	-	43640967	43311520
9215_at	4.98e-09	3.55e-10	6.5024659	12.47369	1.39782558	9215	22	-	31999647	31999142
3163_at	5.02e-09	3.59e-10	6.5006245	12.4633	0.91947361	3163	16	+	4497897	4500198
8916_at	5.32e-09	3.80e-10	6.490653	12.40707	0.56300565	8916	4	+	89848120	89848564
256281_at	5.33e-09	3.81e-10	6.4900048	12.40342	1.15365406	256281	14	-	104714123	104710382
56261_at	5.49e-09	3.93e-10	-6.4850247	12.37537	-1.18761409	56261	20	-	5488604	5475340
22841_at	5.60e-09	4.01e-10	6.4814759	12.35538	1.345959	22841	10	-	119755673	119754554
55603_at	5.65e-09	4.05e-10	-6.4795625	12.34462	-2.92695871	55603	6	-	82516637	82516129
302_at	5.72e-09	4.10e-10	-6.4773969	12.33243	-3.07692962	302	15	-	58430702	58426958
55198_at	5.78e-09	4.15e-10	-6.475401	12.3212	-1.34618175	55198	12	-	104092165	104091676
23136_at	5.82e-09	4.18e-10	6.4741571	12.3142	2.77049566	23136	18	-	5385087	5382466
6426_at	5.98e-09	4.30e-10	-6.4692096	12.28638	-0.86961538	6426	17	-	53437763	53435893
6760_at	6.02e-09	4.33e-10	-6.4680547	12.27989	-1.06290321	6760	18	-	21872574	21850729
2346_at	6.02e-09	4.33e-10	6.4678661	12.27883	3.05762365	2346	11	-	49154020	49124924
6929_at	6.02e-09	4.34e-10	-6.4677526	12.27819	-0.83403977	6929	19	-	1572015	1560337
83930_at	6.05e-09	4.37e-10	-6.4665931	12.27168	-0.88501851	83930	7	+	38236222	38236753
5168_at	6.08e-09	4.39e-10	6.465693	12.26662	3.80969141	5168	8	-	120646280	120638581
345557_at	6.09e-09	4.40e-10	6.4651515	12.26358	2.61882992	345557	5	-	41348367	41342911
5164_at	6.14e-09	4.44e-10	6.4638224	12.25611	0.94942547	5164	17	+	45529826	45543335
23582_at	6.16e-09	4.45e-10	6.4631421	12.25229	1.06278378	23582	15	+	41271016	41274428
10254_at	6.20e-09	4.49e-10	-6.4618911	12.24526	-0.59991027	10254	2	-	152700309	152683432
22822_at	6.20e-09	4.49e-10	-6.4616194	12.24373	-2.07733575	22822	12	-	74711072	74705622
10763_at	6.28e-09	4.55e-10	-6.4592836	12.23062	-1.94783866	10763	1	-	154909332	154905197
10507_at	6.29e-09	4.56e-10	6.4589202	12.22858	1.57368959	10507	9	-	91182489	91182118
2844_at	6.32e-09	4.59e-10	6.4578611	12.22263	0.52903072	2844	9	+	124837118	124837660
55853_at	6.32e-09	4.59e-10	6.4578452	12.22254	1.44950856	55853	10	+	1079637	1080038
104_at	6.36e-09	4.63e-10	6.4564473	12.21469	0.6143317	104	21	+	45467269	45470810
222166_at	6.47e-09	4.71e-10	6.4533593	12.19736	2.44977509	222166	7	+	30166162	30168847
3608_at	6.48e-09	4.72e-10	-6.4528671	12.1946	-1.17381462	3608	1	-	151901863	151901240
6305_at	6.51e-09	4.75e-10	6.4521237	12.19043	1.09276897	6305	22	-	49247676	49232154
8567_at	6.67e-09	4.87e-10	6.4475984	12.16505	0.9896924	8567	11	+	47307567	47308088
11266_at	6.67e-09	4.87e-10	-6.4475944	12.16503	-0.92136748	11266	1	+	159989505	159993522
745_at	6.75e-09	4.93e-10	6.4453273	12.15231	0.94865599	745	11	+	61302500	61312492
967_at	6.75e-09	4.94e-10	-6.4452853	12.15208	-1.43620486	967	12	-	54406981	54405637
5602_at	6.79e-09	4.97e-10	6.4440188	12.14498	1.73003854	5602	4	-	87157219	87156697
114798_at	6.82e-09	4.99e-10	6.443226	12.14054	3.018865	114798	13	-	83349738	83349407
5510_at	6.84e-09	5.02e-10	6.4424571	12.13623	0.93566054	5510	2	+	241747357	241771029
55905_at	6.94e-09	5.09e-10	-6.4399205	12.12201	-0.66642951	55905	20	+	47991538	48003767
7153_at	6.95e-09	5.10e-10	-6.4395894	12.12016	-4.01745944	7153	17	-	35809763	35798412
23466_at	7.02e-09	5.16e-10	6.4374921	12.10841	1.21523467	23466	22	-	37590696	37590284
5126_at	7.07e-09	5.20e-10	6.4361259	12.10076	3.35626841	5126	20	+	17410360	17413134
4674_at	7.10e-09	5.23e-10	6.4352647	12.09594	3.46538308	4674	X	-	72349430	72348927
8938_at	7.14e-09	5.26e-10	6.4341731	12.08982	1.24819808	8938	16	+	1338920	1339383
9911_at	7.40e-09	5.45e-10	6.427907	12.05475	0.87114838	9911	1	+	203505509	203509003
51614_at	7.47e-09	5.51e-10	-6.4261524	12.04494	-0.95390691	51614	20	+	33607233	33608777
3290_at	7.59e-09	5.60e-10	6.4232802	12.02888	2.18171856	3290	1	+	207974295	207974667
53828_at	7.67e-09	5.66e-10	6.4212967	12.01779	0.49584789	53828	10	+	43190960	43191730
55872_at	7.80e-09	5.77e-10	-6.418143	12.00016	-4.10771568	55872	8	-	27723879	27723370
55176_at	7.81e-09	5.78e-10	6.4177337	11.99787	1.44271736	55176	10	+	12246281	12246752
83985_at	7.82e-09	5.79e-10	-6.4173607	11.99579	-0.87123858	83985	16	+	28903029	28903321
83988_at	7.83e-09	5.81e-10	6.4169943	11.99374	2.34728939	83988	8	-	102768710	102768240
9816_at	7.83e-09	5.81e-10	-6.4169159	11.9933	-0.87242952	9816	1	+	227862045	227862469
84134_at	7.86e-09	5.84e-10	6.4160596	11.98852	0.84688314	84134	1	+	159466488	159466964
64405_at	7.91e-09	5.88e-10	6.4148954	11.98201	1.01218683	64405	20	-	44236335	44235839
9635_at	8.01e-09	5.96e-10	6.4125641	11.96899	0.21229994	9635	1	+	86691822	86694735
7818_at	8.14e-09	6.06e-10	-6.409633	11.95262	-0.71441622	7818	1	+	153968367	153974835
22866_at	8.20e-09	6.10e-10	6.4082855	11.9451	1.83624432	22866	X	+	21576940	21580574
135932_at	8.31e-09	6.19e-10	6.4057429	11.93091	0.41562541	135932	7	+	142693973	142695121
121457_at	8.58e-09	6.40e-10	-6.4000428	11.89911	-1.97931361	121457	12	-	97543182	97531435
10300_at	8.58e-09	6.41e-10	6.399666	11.89701	0.95817121	10300	16	+	56347451	56348585
5587_at	8.58e-09	6.41e-10	-6.3995967	11.89663	-1.82937572	5587	14	-	29115997	29115467
23762_at	8.58e-09	6.41e-10	6.3995858	11.89657	0.61669719	23762	22	+	29619875	29633579
80333_at	8.70e-09	6.51e-10	6.3970456	11.8824	2.96548159	80333	4	-	20461274	20339397
9735_at	8.76e-09	6.56e-10	-6.395728	11.87506	-1.64173915	9735	12	+	121671011	121676766
30845_at	8.81e-09	6.60e-10	6.3946271	11.86892	2.2923744	30845	2	+	31344228	31344696
28977_at	8.88e-09	6.66e-10	-6.3930739	11.86027	-1.07190072	28977	12	+	92394882	92420231
7518_at	8.98e-09	6.74e-10	-6.3909568	11.84847	-1.02989918	7518	5	+	82536393	82685204
84964_at	9.00e-09	6.75e-10	6.3905605	11.84626	1.09384519	84964	19	-	41193312	41191874
64423_at	9.06e-09	6.81e-10	6.3891753	11.83855	0.36159598	64423	14	+	104245275	104256950
54465_at	9.09e-09	6.83e-10	-6.3885615	11.83513	-1.00004773	54465	2	+	67490606	67490995
25873_at	9.14e-09	6.88e-10	-6.3874025	11.82867	-1.0619601	25873	19	+	5641556	5642615
2297_at	9.15e-09	6.89e-10	-6.3870289	11.82659	-2.65339133	2297	5	-	72778400	72778072
1315_at	9.27e-09	6.98e-10	-6.3847045	11.81365	-0.68467962	1315	11	-	14438366	14435686
57562_at	9.41e-09	7.10e-10	6.3818847	11.79796	2.11483686	57562	11	+	101373965	101376846
64222_at	9.59e-09	7.24e-10	-6.3783641	11.77837	-0.742532	64222	1	+	177321569	177331642
51335_at	9.61e-09	7.26e-10	6.3779613	11.77613	0.96506558	51335	15	+	88615657	88616211
5577_at	9.82e-09	7.42e-10	6.3740897	11.7546	2.249152	5577	7	+	106588501	106588985
3981_at	9.99e-09	7.56e-10	6.3707564	11.73607	0.90831717	3981	13	-	107659142	107657847
6634_at	9.99e-09	7.57e-10	-6.3706758	11.73562	-0.843211	6634	22	+	23283720	23298039
5422_at	1.02e-08	7.69e-10	-6.367752	11.71938	-1.2885065	5422	X	+	24924429	24924912
9306_at	1.02e-08	7.72e-10	-6.3672741	11.71672	-1.6105778	9306	18	+	66144096	66145215
23313_at	1.02e-08	7.75e-10	6.3663831	11.71177	1.25159536	23313	22	-	43970795	43966858
6752_at	1.03e-08	7.84e-10	6.3645157	11.7014	1.60290795	6752	17	+	68677591	68679358
6224_at	1.04e-08	7.89e-10	-6.3632816	11.69455	-0.83063929	6224	8	-	57149583	57149187
378_at	1.07e-08	8.11e-10	-6.358577	11.66843	-1.07030481	378	3	-	57544685	57532218
11056_at	1.09e-08	8.26e-10	-6.3552079	11.64974	-1.20632402	11056	17	-	33047993	33047607
117246_at	1.09e-08	8.28e-10	-6.3548051	11.64751	-0.80993891	117246	17	-	59251033	59250568
23400_at	1.09e-08	8.29e-10	6.3547555	11.64723	1.25985069	23400	1	-	17185612	17185131
23057_at	1.09e-08	8.35e-10	6.3533368	11.63936	2.64593989	23057	1	-	181487817	181484234
220108_at	1.11e-08	8.46e-10	6.3511912	11.62746	0.44815096	220108	13	+	50753021	50753199
10458_at	1.11e-08	8.51e-10	6.349974	11.62071	0.82702067	10458	17	+	76695168	76705736
118813_at	1.12e-08	8.58e-10	6.3486686	11.61348	1.01817678	118813	10	+	99510095	99510561
11069_at	1.14e-08	8.70e-10	6.3461767	11.59967	2.96270543	11069	2	+	173625301	173625821
210_at	1.17e-08	8.93e-10	6.3415489	11.57403	0.78145248	210	9	-	115192559	115188474
64417_at	1.17e-08	8.99e-10	-6.3403386	11.56733	-0.97625475	64417	5	-	43515780	43481271
9673_at	1.18e-08	9.06e-10	6.3390706	11.5603	0.6348209	9673	1	+	154448646	154449159
83607_at	1.19e-08	9.11e-10	-6.3380366	11.55458	-0.88499742	83607	2	-	128336217	128335735
91975_at	1.19e-08	9.15e-10	-6.3373804	11.55095	-2.12611783	91975	5	-	150254725	150254262
79885_at	1.21e-08	9.26e-10	6.3351662	11.53869	0.69739971	79885	3	+	13521331	13521798
143872_at	1.21e-08	9.33e-10	-6.3338457	11.53138	-1.89887981	143872	11	+	100365347	100365784
10146_at	1.22e-08	9.36e-10	-6.3333164	11.52846	-0.94734215	10146	5	+	151163652	151165042
388969_at	1.22e-08	9.39e-10	-6.332812	11.52567	-1.56113441	388969	2	-	85687904	85687689
1857_at	1.22e-08	9.39e-10	-6.332758	11.52537	-1.0767814	1857	3	+	185370806	185373942
780_at	1.22e-08	9.40e-10	-6.3325804	11.52438	-1.40660769	780	6	+	30975290	30975856
84735_at	1.23e-08	9.53e-10	6.3301941	11.51118	4.71500912	84735	18	+	70402762	70403156
51720_at	1.23e-08	9.53e-10	-6.3301122	11.51073	-0.69693524	51720	5	-	176266748	176264806
53916_at	1.24e-08	9.62e-10	6.3284183	11.50136	1.0418394	53916	19	+	45984429	45994629
51530_at	1.25e-08	9.70e-10	-6.3271052	11.4941	-0.94913099	51530	7	-	129449439	129445398
57144_at	1.27e-08	9.81e-10	6.3250464	11.48272	2.60519037	57144	20	-	9471250	9466069
5195_at	1.27e-08	9.87e-10	6.3238901	11.47633	0.69875705	5195	1	+	10612871	10613342
51163_at	1.28e-08	9.89e-10	-6.3236049	11.47475	-0.94335415	51163	3	-	139363444	139362609
163175_at	1.31e-08	1.02e-09	6.3187097	11.44771	1.3493549	163175	19	-	40314226	40307477
130507_at	1.32e-08	1.02e-09	6.3179646	11.44359	1.03264754	130507	2	+	170648074	170648761
26521_at	1.35e-08	1.05e-09	-6.3130846	11.41665	-0.91754667	26521	11	-	111462611	111461105
9926_at	1.37e-08	1.07e-09	6.3102599	11.40106	1.50808991	9926	1	-	210018983	209985309
63874_at	1.38e-08	1.07e-09	-6.3093111	11.39582	-1.00200328	63874	14	+	22150517	22151037
80331_at	1.38e-08	1.08e-09	6.3084944	11.39132	0.78418916	80331	20	+	62035375	62035791
9353_at	1.40e-08	1.09e-09	6.306019	11.37766	2.57058302	9353	4	+	20227893	20229766
83690_at	1.41e-08	1.10e-09	-6.3046803	11.37028	-3.0396649	83690	8	+	76107563	76108019
9895_at	1.43e-08	1.12e-09	6.301867	11.35477	0.96483572	9895	14	+	102035679	102038496
29097_at	1.43e-08	1.12e-09	-6.3018451	11.35465	-1.46226665	29097	1	+	222620207	222630239
139728_at	1.46e-08	1.14e-09	6.2985974	11.33675	0.84148666	139728	X	-	152588752	152588432
8936_at	1.46e-08	1.14e-09	6.2984346	11.33585	2.3669844	8936	6	-	110528275	110527784
113622_at	1.47e-08	1.15e-09	6.2966963	11.32628	0.34297086	113622	13	-	113127456	113124322
6539_at	1.48e-08	1.16e-09	6.2961375	11.3232	1.09991094	6539	12	-	170083	169570
28978_at	1.52e-08	1.20e-09	6.2901606	11.29028	1.05214673	28978	6	+	52658770	52659277
64750_at	1.54e-08	1.21e-09	-6.2879152	11.27793	-1.0320599	64750	17	-	59972211	59972004
4345_at	1.55e-08	1.22e-09	6.2866908	11.27119	2.11647789	4345	3	+	113549329	113564167
6117_at	1.57e-08	1.23e-09	-6.2847765	11.26066	-0.87367817	6117	17	+	1747148	1747980
5567_at	1.58e-08	1.24e-09	6.2834955	11.25361	1.53268454	5567	1	+	84443128	84476667
8540_at	1.60e-08	1.26e-09	-6.2813533	11.24183	-1.07925117	8540	2	+	178078515	178112341
54888_at	1.62e-08	1.28e-09	-6.2784229	11.22572	-0.68027297	54888	5	-	6652891	6652375
10157_at	1.62e-08	1.28e-09	-6.2781641	11.22429	-1.29262395	10157	7	-	121505244	121503588
7280_at	1.63e-08	1.28e-09	6.2776174	11.22129	1.46907839	7280	6	-	3099088	3098946
23521_at	1.63e-08	1.29e-09	-6.2766326	11.21588	-0.815424	23521	19	+	54685311	54687306
4735_at	1.63e-08	1.29e-09	-6.2766253	11.21584	-1.06733005	4735	2	+	241931853	241942037
10301_at	1.64e-08	1.29e-09	-6.2759873	11.21233	-1.38392305	10301	13	+	49576982	49577337
10385_at	1.66e-08	1.31e-09	-6.2735602	11.19899	-0.98277653	10385	6	+	26501688	26502987
84080_at	1.66e-08	1.31e-09	-6.2735037	11.19868	-1.14948315	84080	16	-	66254934	66254471
523_at	1.67e-08	1.32e-09	6.2727259	11.19441	1.51747643	523	3	+	114999805	115013498
1650_at	1.68e-08	1.33e-09	-6.2706696	11.18312	-1.12510585	1650	1	-	20852019	20850922
57626_at	1.70e-08	1.35e-09	6.2685062	11.17124	0.25185895	57626	13	-	69579817	69172768
25829_at	1.70e-08	1.35e-09	6.2684255	11.1708	0.72704925	25829	22	-	36945790	36945329
80232_at	1.72e-08	1.37e-09	-6.2664597	11.16	-0.71358619	80232	1	-	222643992	222639869
152_at	1.73e-08	1.38e-09	6.265221	11.1532	0.62342435	152	4	+	3739594	3740001
57514_at	1.74e-08	1.38e-09	-6.264492	11.1492	-1.81012515	57514	3	+	120618688	120619192
85453_at	1.77e-08	1.41e-09	6.2615023	11.1328	2.88863749	85453	8	-	98355450	98354995
5479_at	1.79e-08	1.42e-09	-6.2590947	11.11959	-1.5802916	5479	15	-	62239403	62235105
5334_at	1.81e-08	1.45e-09	6.2564888	11.10531	2.62217782	5334	2	+	198720702	198721114
84527_at	1.82e-08	1.46e-09	-6.2553099	11.09884	-1.28890745	84527	19	+	9314943	9315422
83666_at	1.85e-08	1.47e-09	-6.253067	11.08655	-2.26843407	83666	3	-	123730016	123729568
9896_at	1.89e-08	1.51e-09	6.2488691	11.06355	0.98182454	9896	6	+	110219415	110253241
7170_at	1.91e-08	1.53e-09	6.2463514	11.04976	0.6746414	7170	1	-	152410529	152395827
3371_at	1.96e-08	1.57e-09	-6.2422957	11.02756	-4.341738	3371	9	-	116823180	116822669
2768_at	1.98e-08	1.58e-09	-6.2403099	11.01669	-0.99771783	2768	7	-	2735279	2734314
51542_at	1.99e-08	1.59e-09	-6.2391439	11.01031	-0.73990919	51542	2	-	63978160	63973207
4690_at	2.01e-08	1.61e-09	-6.2370833	10.99904	-0.77232085	4690	3	+	138147666	138150551
11267_at	2.02e-08	1.62e-09	-6.2361224	10.99379	-0.73067508	11267	17	-	44369426	44362821
338328_at	2.03e-08	1.63e-09	6.2355035	10.9904	1.56872936	338328	8	+	144369916	144370316
79605_at	2.03e-08	1.63e-09	6.2352099	10.9888	2.00913643	79605	1	-	228524571	228524125
154661_at	2.05e-08	1.64e-09	6.2335931	10.97996	2.35883403	154661	7	+	87297138	87297617
23047_at	2.10e-08	1.69e-09	6.2285343	10.95231	1.03122591	23047	13	+	32247486	32250038
60484_at	2.15e-08	1.73e-09	6.2242784	10.92906	1.42452737	60484	1	+	154861588	154862094
56931_at	2.15e-08	1.73e-09	-6.2241257	10.92823	-1.28485551	56931	19	-	5738311	5736752
9456_at	2.15e-08	1.74e-09	6.2238275	10.9266	1.96291276	9456	5	-	78733536	78707512
55596_at	2.16e-08	1.74e-09	-6.2233215	10.92383	-0.95623574	55596	12	-	121523902	121523422
58190_at	2.17e-08	1.75e-09	-6.2225714	10.91974	-1.01934934	58190	2	+	218978344	218978855
84313_at	2.17e-08	1.76e-09	-6.2219184	10.91617	-0.81913184	84313	17	+	38184561	38185104
260425_at	2.19e-08	1.77e-09	6.2201029	10.90626	0.89427435	260425	1	+	114016792	114026456
10362_at	2.20e-08	1.78e-09	-6.2196992	10.90406	-1.57985426	10362	19	+	3527578	3530030
8805_at	2.21e-08	1.79e-09	-6.2182126	10.89595	-1.48958154	8805	7	+	137920324	137920769
114902_at	2.22e-08	1.80e-09	-6.2177754	10.89356	-1.99467318	114902	11	-	118715326	118714879
79581_at	2.22e-08	1.80e-09	-6.2171756	10.89029	-1.01819258	79581	8	+	145554756	145555693
6193_at	2.24e-08	1.82e-09	-6.2153435	10.88029	-0.93983149	6193	19	+	63596257	63596319
8914_at	2.25e-08	1.83e-09	-6.2147116	10.87685	-1.75864569	8914	12	-	55097660	55097251
55250_at	2.30e-08	1.87e-09	-6.2109019	10.85607	-0.89433528	55250	18	+	32001127	32008522
348995_at	2.31e-08	1.88e-09	-6.2098466	10.85032	-0.72251265	348995	6	-	150109224	150087191
196047_at	2.31e-08	1.88e-09	6.2094762	10.8483	1.27695652	196047	10	-	119241570	119233832
4340_at	2.32e-08	1.89e-09	6.2087496	10.84434	4.10022199	4340	6	+	29735347	29747916
308_at	2.35e-08	1.91e-09	-6.2066799	10.83306	-1.8661221	308	4	-	122810207	122808706
3685_at	2.35e-08	1.92e-09	-6.2060218	10.82947	-1.14084856	3685	2	+	187253397	187253812
5638_at	2.40e-08	1.96e-09	6.2025789	10.81071	2.11296947	5638	X	+	37200917	37201336
3185_at	2.41e-08	1.96e-09	-6.2018321	10.80665	-0.88931258	3185	10	-	43202493	43201989
55800_at	2.42e-08	1.98e-09	6.2008495	10.8013	3.95224399	55800	11	-	123006317	123005213
23462_at	2.43e-08	1.99e-09	-6.1994767	10.79382	-1.72107438	23462	8	-	80839375	80838826
7913_at	2.45e-08	2.01e-09	-6.1980715	10.78617	-0.96145704	7913	6	-	18332963	18332440
5502_at	2.46e-08	2.01e-09	6.1974272	10.78266	1.70832656	5502	12	-	53264316	53259352
23022_at	2.49e-08	2.04e-09	-6.1947763	10.76824	-1.64443145	23022	4	+	170082034	170086014
5373_at	2.49e-08	2.04e-09	-6.1946673	10.76764	-1.23642618	5373	16	+	8850167	8850608
5894_at	2.51e-08	2.06e-09	-6.1932303	10.75983	-0.92223891	5894	3	-	12600682	12600239
93134_at	2.52e-08	2.07e-09	-6.1928099	10.75754	-1.26569032	93134	19	-	9582260	9581751
57475_at	2.52e-08	2.07e-09	6.1924293	10.75547	2.70277354	57475	14	+	67125441	67125954
25980_at	2.55e-08	2.09e-09	-6.190501	10.74498	-0.67381127	25980	20	+	34307705	34308130
4927_at	2.60e-08	2.14e-09	-6.1863028	10.72215	-1.16146423	4927	17	-	5231091	5230758
55114_at	2.61e-08	2.15e-09	-6.1860873	10.72098	-0.81650604	55114	16	-	24838764	24838337
8662_at	2.64e-08	2.17e-09	-6.1838095	10.7086	-1.02294798	8662	7	+	2385303	2386857
386618_at	2.64e-08	2.17e-09	6.1836514	10.70774	2.01505909	386618	13	-	44665980	44665281
11182_at	2.65e-08	2.18e-09	6.1829633	10.70401	0.96707384	11182	9	-	135326611	135326069
54478_at	2.72e-08	2.24e-09	-6.1781915	10.67809	-3.44666887	54478	17	+	6294638	6295059
8702_at	2.72e-08	2.25e-09	-6.1777211	10.67553	-0.9519781	8702	3	-	120414116	120413335
90355_at	2.75e-08	2.27e-09	6.1757199	10.66467	1.63976074	90355	5	+	102641385	102641760
8550_at	2.77e-08	2.29e-09	-6.1745622	10.65838	-0.76070753	8550	12	+	110808195	110815248
2618_at	2.77e-08	2.30e-09	-6.173888	10.65472	-0.90175637	2618	21	-	33818716	33798215
58475_at	2.83e-08	2.34e-09	-6.1703052	10.63528	-2.5071959	58475	11	+	59910778	59919922
7157_at	2.83e-08	2.34e-09	-6.170284	10.63517	-1.49881608	7157	17	-	7514722	7512541
4691_at	2.91e-08	2.41e-09	-6.1648733	10.60582	-0.69173893	4691	2	-	232028507	232027911
84817_at	2.92e-08	2.42e-09	-6.1643361	10.60291	-1.12336656	84817	17	+	6485122	6487084
5721_at	2.94e-08	2.44e-09	-6.1627753	10.59445	-1.22036543	5721	14	-	23683478	23682508
57698_at	2.97e-08	2.47e-09	6.1606108	10.58272	2.82746052	57698	10	-	118634704	118634371
3249_at	2.99e-08	2.49e-09	6.1593206	10.57573	0.56973738	3249	19	+	40248333	40249069
55254_at	3.02e-08	2.52e-09	-6.157513	10.56594	-0.98209639	55254	3	-	120636371	120632441
23331_at	3.04e-08	2.54e-09	-6.1560724	10.55814	-0.96798848	23331	22	-	26889528	26704021
389332_at	3.07e-08	2.56e-09	6.154262	10.54833	0.56608095	389332	5	-	135555531	135555120
23035_at	3.07e-08	2.56e-09	6.154202	10.54801	1.2457636	23035	16	-	70236836	70236514
51260_at	3.08e-08	2.57e-09	-6.1537076	10.54533	-0.91295568	51260	X	+	75309322	75314377
121441_at	3.08e-08	2.57e-09	-6.1535914	10.5447	-1.35917112	121441	12	+	95863609	95870092
58505_at	3.08e-08	2.57e-09	-6.1535781	10.54463	-1.33399777	58505	4	+	109798085	109798177
10396_at	3.11e-08	2.60e-09	6.1516338	10.53411	1.64238197	10396	4	-	42111458	42109505
79739_at	3.15e-08	2.64e-09	6.1491915	10.52089	2.12503955	79739	1	-	84121353	84108205
6647_at	3.18e-08	2.66e-09	6.1471949	10.51009	0.73370338	6647	21	+	31953978	31962749
23392_at	3.23e-08	2.71e-09	6.1444556	10.49527	0.83486167	23392	9	-	113171139	113162854
1019_at	3.24e-08	2.72e-09	-6.1436941	10.49115	-2.13446214	1019	12	-	56429516	56428371
4697_at	3.25e-08	2.73e-09	6.1428671	10.48668	0.77846861	4697	7	-	10946260	10939748
6742_at	3.29e-08	2.76e-09	-6.1408551	10.47581	-0.89445239	6742	7	+	141085431	141091822
80336_at	3.34e-08	2.80e-09	-6.1380389	10.46059	-2.0130813	80336	20	+	43000751	43001321
10403_at	3.40e-08	2.86e-09	-6.1346734	10.44241	-3.07036508	10403	18	+	2596473	2606541
51133_at	3.50e-08	2.94e-09	-6.1294112	10.41399	-1.21196358	51133	1	+	213861108	213861641
147184_at	3.55e-08	2.99e-09	-6.1262904	10.39715	-1.23698818	147184	17	+	36244289	36244807
54919_at	3.58e-08	3.01e-09	-6.1250677	10.39056	-1.19697185	54919	7	+	781180	792531
9948_at	3.58e-08	3.02e-09	-6.1245931	10.388	-1.18099995	9948	4	-	9709800	9685333
6605_at	3.60e-08	3.04e-09	-6.1236611	10.38297	-0.84228281	6605	17	-	36040584	36037574
23621_at	3.65e-08	3.08e-09	6.1210728	10.36901	0.93435263	23621	11	-	116666910	116661725
10434_at	3.65e-08	3.08e-09	-6.1209015	10.36809	-1.17780262	10434	8	-	55122774	55121542
4853_at	3.65e-08	3.09e-09	-6.1206198	10.36657	-1.26974481	4853	1	-	120257675	120255817
23338_at	3.66e-08	3.09e-09	6.1203375	10.36505	0.96279463	23338	5	+	133942582	133946769
793_at	3.68e-08	3.11e-09	6.1192177	10.35901	3.51639687	793	8	-	91141349	91140050
58494_at	3.69e-08	3.13e-09	-6.1184528	10.35488	-1.42193906	58494	21	+	25992943	26008914
2217_at	3.71e-08	3.14e-09	-6.1174983	10.34974	-1.5987234	2217	19	+	54719750	54721338
5720_at	3.72e-08	3.15e-09	-6.1168908	10.34647	-0.91230375	5720	14	+	23676754	23677950
84870_at	3.72e-08	3.15e-09	6.1167891	10.34592	0.99634392	84870	6	+	127559284	127559829
1284_at	3.72e-08	3.16e-09	-6.1162522	10.34302	-3.16165521	1284	13	+	109958341	109963231
2553_at	3.74e-08	3.18e-09	-6.1152544	10.33765	-0.89535551	2553	15	-	48380342	48356821
182_at	3.78e-08	3.22e-09	-6.1133008	10.32712	-1.7590478	182	20	-	10602504	10566672
8470_at	3.78e-08	3.22e-09	6.1131417	10.32627	2.23232734	8470	4	-	186769984	186743739
27347_at	3.89e-08	3.31e-09	6.1078572	10.29781	1.36131376	27347	2	-	168519158	168518824
953_at	3.92e-08	3.34e-09	-6.1064616	10.2903	-1.91501635	953	10	+	97610298	97616289
7172_at	3.93e-08	3.35e-09	6.1056911	10.28615	0.77830802	7172	6	-	18238196	18236588
138046_at	3.94e-08	3.36e-09	6.105428	10.28474	3.78628397	138046	8	+	85996035	85996562
2990_at	3.97e-08	3.39e-09	-6.1036505	10.27517	-1.512072	2990	7	-	65070189	65063175
6342_at	4.01e-08	3.43e-09	-6.1016813	10.26458	-0.99488744	6342	1	+	53288922	53289742
3108_at	4.01e-08	3.43e-09	-6.1015928	10.2641	-2.65327049	3108	6	-	33025556	33024544
729515_at	4.09e-08	3.50e-09	6.0980165	10.24487	0.74338989	729515	6	-	157659914	157632831
55326_at	4.23e-08	3.63e-09	-6.0916265	10.21053	-1.15254436	55326	8	+	6603995	6604502
124404_at	4.24e-08	3.63e-09	6.0914354	10.2095	0.5549955	124404	16	-	4773497	4767728
79691_at	4.28e-08	3.67e-09	-6.0894777	10.19899	-1.12849528	79691	3	+	115289451	115289781
1462_at	4.39e-08	3.76e-09	-6.0848289	10.17403	-2.21497591	1462	5	+	82885058	82912680
7301_at	4.40e-08	3.77e-09	6.0843373	10.17139	1.60890095	7301	15	+	39653209	39658603
10133_at	4.41e-08	3.79e-09	6.0835921	10.16739	1.66995033	10133	10	+	13209807	13220171
6487_at	4.41e-08	3.79e-09	6.0833832	10.16627	0.47914646	6487	1	+	43974593	44169257
126272_at	4.41e-08	3.80e-09	6.0832972	10.16581	1.48895086	126272	19	-	44714426	44714056
3768_at	4.45e-08	3.83e-09	6.0815457	10.15641	0.52368361	3768	17	+	21260001	21260929
94274_at	4.50e-08	3.88e-09	6.0793459	10.14461	2.79493331	94274	19	-	43438776	43433726
5121_at	4.55e-08	3.92e-09	6.0775827	10.13515	3.44035201	5121	21	+	40161264	40223100
6774_at	4.62e-08	3.99e-09	-6.0744971	10.11861	-0.96184702	6774	17	-	37727896	37718891
9699_at	4.65e-08	4.02e-09	6.073036	10.11078	2.64128882	9699	8	+	105330123	105333206
9705_at	4.66e-08	4.02e-09	6.0728034	10.10953	3.3289436	9705	8	-	53186485	53185983
