source,target,weight
CBFB,ERG,0.821
CBFB,NR4A3,0.75
CBLC,EGFR,0.997
CBLC,FGFR4,0.726
CBLC,SH3GL3,0.814
CBLC,SH3GL2,0.8
CCL18,CXCL13,0.795
CCL18,CXCL3,0.734
CCL18,CXCL5,0.75
CCL18,CXCL8,0.855
CCL18,CXCR2,0.785
CCL18,CXCL2,0.704
CCNA2,DLGAP5,0.97
CCNA2,E2F8,0.816
CCNA2,CCNB1,0.995
ANLN,CCNA2,0.747
CCNA2,CDCA5,0.863
BUB1B,CCNA2,0.994
CCNA2,CCNB2,0.965
CCNA2,MELK,0.939
CCNA2,PCLAF,0.886
CCNA2,TPX2,0.954
CCNA2,TYMS,0.865
CCNA2,CDC25C,0.956
CCNA2,E2F1,0.999
CCNA2,UBE2C,0.994
CCNA2,RRM2,0.939
CCNA2,EXO1,0.879
CCNA2,CENPF,0.944
CCNA2,NEK2,0.943
ASPM,CCNA2,0.944
CCNA2,TTK,0.939
CCNA2,CEP55,0.923
CCNA2,CDC20,0.999
CCNA2,CDCA8,0.952
CCNA2,ZWINT,0.901
CCNA2,KIF4A,0.895
CCNA2,HMMR,0.921
CCNA2,KIF20A,0.974
CCNA2,CDC45,0.906
CCNA2,TOP2A,0.982
CCNA2,DEPDC1,0.894
CCNA2,HJURP,0.877
CCNA2,TK1,0.78
CCNA2,MYC,0.734
CCNA2,UHRF1,0.742
CCNA2,NUSAP1,0.922
CCNB1,GADD45B,0.97
CCNB1,DLGAP5,0.965
CCNB1,GINS1,0.711
CCNB1,CDKN2A,0.772
CCNB1,EXO1,0.773
CCNB1,PCLAF,0.796
CCNB1,CDC45,0.8
CCNB1,EGFR,0.804
CCNB1,RGCC,0.81
CCNB1,E2F1,0.834
CCNB1,TYMS,0.841
CCNB1,DEPDC1B,0.845
CCNB1,UBE2T,0.851
ANLN,CCNB1,0.86
CCNB1,CDCA5,0.869
CCNB1,DEPDC1,0.871
CCNB1,HJURP,0.871
CCNB1,MYC,0.872
CCNB1,TK1,0.879
CCNB1,RRM2,0.905
CCNB1,NEK2,0.91
CCNB1,NUSAP1,0.923
CCNB1,KIF4A,0.931
CCNB1,TTK,0.936
CCNB1,CEP55,0.94
CCNB1,HMMR,0.942
CCNB1,TPX2,0.949
CCNB1,ZWINT,0.95
ASPM,CCNB1,0.952
CCNB1,KIF20A,0.954
CCNB1,SFN,0.965
CCNB1,MELK,0.972
CCNB1,CDCA8,0.987
CCNB1,CENPF,0.988
CCNB1,TOP2A,0.989
CCNB1,UBE2C,0.99
CCNB1,CDC25C,0.991
CCNA2,CCNB1,0.995
CCNB1,CCNB2,0.998
BUB1B,CCNB1,0.998
CCNB1,CDC20,0.999
CCNB2,GADD45B,0.926
CCNB2,DLGAP5,0.974
CCNB2,GINS2,0.844
CCNB1,CCNB2,0.998
CCNB2,CDCA5,0.969
BUB1B,CCNB2,0.993
CCNB2,DEPDC1,0.724
CCNB2,EXO1,0.744
CCNB2,E2F1,0.785
CCNB2,KIF4A,0.864
CCNB2,TYMS,0.868
CCNB2,TK1,0.88
CCNB2,PCLAF,0.882
CCNB2,HMMR,0.888
CCNB2,NEK2,0.902
CCNB2,HJURP,0.905
CCNB2,CEP55,0.907
CCNB2,RRM2,0.913
CCNB2,SFN,0.919
CCNB2,ZWINT,0.92
CCNB2,KIF20A,0.938
CCNB2,CDC45,0.95
ASPM,CCNB2,0.951
CCNB2,TPX2,0.953
CCNB2,TTK,0.96
CCNB2,NUSAP1,0.962
CCNA2,CCNB2,0.965
CCNB2,UBE2C,0.968
CCNB2,CDCA8,0.974
CCNB2,CENPF,0.974
CCNB2,MELK,0.975
CCNB2,TOP2A,0.975
CCNB2,CDC25C,0.993
CCNB2,CDC20,0.999
CD19,GZMB,0.805
CD19,CD69,0.859
CD19,CXCL13,0.785
CD19,IL7R,0.808
AOC3,CD19,0.795
CD19,CD24,0.796
CD19,CD274,0.816
CD19,IL6,0.836
CD19,CD36,0.888
CD19,FCRLA,0.931
CD19,MME,0.954
CD19,FCGR3B,0.997
CD19,FCGR3A,0.997
CD19,CR2,0.999
CD1A,MME,0.759
CD1A,CD207,0.975
CD207,LAMP3,0.753
CD1A,CD207,0.975
CD24,CDH1,0.752
CD24,EGFR,0.806
CD19,CD24,0.796
CD24,SOX2,0.734
CD24,SELE,0.899
CD24,CR2,0.729
CD24,PECAM1,0.847
CD274,GZMB,0.784
CD274,KRAS,0.774
CD274,CDH1,0.718
CD274,ERBB2,0.798
CD274,EGFR,0.87
CD19,CD274,0.816
CD274,MET,0.743
CD274,CXCR2,0.708
CD274,KLRD1,0.78
CD274,FCGR3A,0.878
CD274,ROS1,0.761
CD274,PTEN,0.714
CD274,DDX53,0.719
CD274,PRF1,0.719
CD274,CXCL12,0.757
BRAF,CD274,0.799
CD274,IL6,0.799
ALK,CD274,0.818
CD274,FCGR3B,0.879
CD300LG,EMCN,0.716
CD36,COMP,0.953
CD36,COL1A1,0.72
CD36,FABP4,0.969
CD36,VWF,0.803
CD36,COL1A2,0.735
CD19,CD36,0.888
CD36,SELE,0.724
CAV1,CD36,0.956
CD36,THBS2,0.995
CD36,FCGR3A,0.928
AGER,CD36,0.734
CD36,IL6,0.73
CD36,PECAM1,0.851
CD36,LPL,0.877
CD36,FCGR3B,0.923
CD69,GZMB,0.838
CD69,IL6,0.72
CD69,CXCL8,0.756
CD69,CR2,0.761
AOC3,CD69,0.769
CD69,PRF1,0.799
CD69,FCGR3B,0.823
CD69,FCGR3A,0.826
CD19,CD69,0.859
CD69,IL7R,0.9
CD69,S1PR1,0.995
C5AR1,CD93,0.708
CD93,PECAM1,0.792
CDC20,DLGAP5,0.981
CCNB1,CDC20,0.999
ANLN,CDC20,0.701
CDC20,CDCA5,0.938
BUB1B,CDC20,0.999
CCNB2,CDC20,0.999
CDC20,MELK,0.964
CDC20,PCLAF,0.881
CDC20,TPX2,0.961
CDC20,TYMS,0.757
CDC20,CDC25C,0.9
CDC20,E2F1,0.828
CDC20,UBE2C,0.999
CDC20,RASSF1,0.808
CDC20,RRM2,0.907
CDC20,EXO1,0.796
CDC20,CENPF,0.99
CDC20,NEK2,0.999
ASPM,CDC20,0.972
CDC20,TTK,0.99
CDC20,CEP55,0.95
CDC20,DEPDC1,0.761
CDC20,HMMR,0.882
CDC20,TK1,0.883
CDC20,HJURP,0.925
CDC20,KIF4A,0.941
CDC20,CDC45,0.946
CDC20,NUSAP1,0.946
CDC20,ZWINT,0.968
CDC20,TOP2A,0.98
CDC20,KIF20A,0.981
CDC20,CDCA8,0.992
CCNA2,CDC20,0.999
CDC25C,DLGAP5,0.89
CCNB1,CDC25C,0.991
CDC25C,EGFR,0.772
CDC25C,CDCA5,0.739
BUB1B,CDC25C,0.809
CCNB2,CDC25C,0.993
CDC25C,MELK,0.821
CDC25C,HMMR,0.72
CDC25C,TTK,0.787
CDC25C,TOP2A,0.797
CDC25C,KIF4A,0.798
CDC25C,DEPDC1,0.808
CDC25C,NEK2,0.814
CDC25C,UBE2C,0.816
CDC25C,CDCA8,0.821
CDC25C,KIF20A,0.849
CDC25C,CDC45,0.856
CDC25C,HJURP,0.865
CDC20,CDC25C,0.9
CCNA2,CDC25C,0.956
CDC25C,SFN,0.966
CDC45,DLGAP5,0.921
CDC45,GINS2,0.999
CCNB1,CDC45,0.8
CDC45,GINS1,0.999
CDC45,CDCA5,0.937
BUB1B,CDC45,0.817
CCNB2,CDC45,0.95
CDC45,MELK,0.876
CDC45,PCLAF,0.833
CDC45,TPX2,0.766
CDC45,TYMS,0.884
CDC25C,CDC45,0.856
CDC45,E2F1,0.813
CDC45,UBE2C,0.836
CDC45,RRM2,0.87
CDC45,EXO1,0.963
CDC45,CENPF,0.776
ASPM,CDC45,0.703
CDC45,TTK,0.787
CDC45,CEP55,0.896
CDC45,RAD54L,0.856
CDC20,CDC45,0.946
CDC45,CDCA8,0.935
CDC45,ZWINT,0.842
CDC45,KIF4A,0.73
CDC45,HMMR,0.748
CDC45,KIF20A,0.797
CDC45,UBE2T,0.751
CDC45,TK1,0.836
CDC45,CDKN2A,0.86
CDC45,HJURP,0.882
CDC45,NUSAP1,0.895
CCNA2,CDC45,0.906
CDC45,TOP2A,0.917
CDCA5,DLGAP5,0.921
CCNB1,CDCA5,0.869
CDCA5,NEK2,0.722
CDCA5,TYMS,0.73
CDCA5,TTK,0.734
CDC25C,CDCA5,0.739
ASPM,CDCA5,0.746
CDCA5,UHRF1,0.762
CDCA5,UBE2T,0.823
CDCA5,HMMR,0.831
CDCA5,NUSAP1,0.832
CDCA5,UBE2C,0.835
BUB1B,CDCA5,0.851
CDCA5,CENPF,0.857
CDCA5,HJURP,0.861
CCNA2,CDCA5,0.863
CDCA5,CEP55,0.873
CDCA5,MELK,0.875
CDCA5,KIF20A,0.88
CDCA5,TPX2,0.883
CDCA5,KIF4A,0.887
CDCA5,ZWINT,0.908
CDCA5,TOP2A,0.917
CDC45,CDCA5,0.937
CDC20,CDCA5,0.938
CDCA5,CDCA8,0.961
CCNB2,CDCA5,0.969
CDCA8,DLGAP5,0.961
CDCA8,E2F8,0.769
CCNB1,CDCA8,0.987
ANLN,CDCA8,0.789
CDCA5,CDCA8,0.961
BUB1B,CDCA8,0.994
CCNB2,CDCA8,0.974
CDCA8,MELK,0.902
CDCA8,PCLAF,0.839
CDCA8,TPX2,0.919
CDC25C,CDCA8,0.821
CDCA8,UBE2C,0.966
CDCA8,RRM2,0.861
CDCA8,CENPF,0.962
CDCA8,NEK2,0.9
ASPM,CDCA8,0.95
CDCA8,TTK,0.946
CDCA8,CEP55,0.923
CDCA8,RAD54L,0.761
CDC20,CDCA8,0.992
CDCA8,TK1,0.704
CDCA8,UHRF1,0.743
CDCA8,DEPDC1,0.772
CDCA8,ZWINT,0.78
CDCA8,HMMR,0.864
CDCA8,TOP2A,0.92
CDCA8,HJURP,0.923
CDCA8,KIF4A,0.932
CDC45,CDCA8,0.935
CDCA8,NUSAP1,0.949
CCNA2,CDCA8,0.952
CDCA8,KIF20A,0.98
CDH1,KRAS,0.723
APC,CDH1,0.92
CDH1,MMP7,0.819
CDH1,CDKN2A,0.713
CD274,CDH1,0.718
CDH1,CXCL12,0.726
CDH1,SOX2,0.73
CDH1,MMP3,0.739
CD24,CDH1,0.752
CAV1,CDH1,0.768
ANXA1,CDH1,0.776
CDH1,MYC,0.804
CDH1,KLF4,0.809
CDH1,RPSA,0.829
CDH1,ITGA1,0.851
CDH1,EGF,0.852
CDH1,CTNND2,0.862
CDH1,PTEN,0.93
CDH1,ERVFRD-1,0.932
CDH1,S100A8,0.944
CDH1,MMP9,0.957
CDH1,MET,0.959
CDH1,CDH3,0.967
CDH1,ERBB2,0.97
CDH1,CDH5,0.985
CDH1,EGFR,0.999
CDH13,CDH3,0.728
CDH13,CDKN2A,0.747
CDH13,RASSF1,0.906
CDH19,CDH3,0.74
CDH1,CDH3,0.967
CDH19,CDH3,0.74
CDH13,CDH3,0.728
CDH5,LYVE1,0.707
CDH5,VWF,0.881
CDH1,CDH5,0.985
CDH5,EGFR,0.736
CDH5,ESAM,0.85
CDH5,EMCN,0.786
CDH5,ROBO4,0.707
CDH5,SELE,0.98
CDH5,PTPRB,0.982
CAV1,CDH5,0.712
CDH5,TIE1,0.807
CDH5,TEK,0.901
ACVRL1,CDH5,0.717
CDH5,CLDN5,0.993
ANGPT1,CDH5,0.797
CDH5,PECAM1,0.999
CDKN2A,MLH1,0.855
CDKN2A,KRAS,0.992
CCNB1,CDKN2A,0.772
CDH1,CDKN2A,0.713
CDKN2A,TP63,0.741
CDH13,CDKN2A,0.747
CDKN2A,ERBB2,0.773
CDKN2A,EGFR,0.91
CDKN2A,CDKN2B,0.951
CDKN2A,MGMT,0.876
CDKN2A,SOX2,0.706
CDKN2A,E2F1,0.969
CDKN2A,RASSF1,0.894
CDKN2A,PTEN,0.923
CDKN2A,RUNX3,0.789
CDC45,CDKN2A,0.86
CDKN2A,FHIT,0.701
BRAF,CDKN2A,0.892
CDKN2A,MYC,0.998
CDKN2A,CDKN2B,0.951
CDKN2B,MYC,0.966
CDO1,GAD1,0.932
CEBPD,SOX2,0.789
ATF3,CEBPG,0.834
CENPF,DLGAP5,0.976
CENPF,E2F8,0.803
CCNB1,CENPF,0.988
ANLN,CENPF,0.842
CDCA5,CENPF,0.857
BUB1B,CENPF,0.999
CCNB2,CENPF,0.974
CENPF,MELK,0.919
CENPF,PCLAF,0.898
CENPF,TPX2,0.954
CENPF,UBE2C,0.94
CENPF,RRM2,0.822
CENPF,EXO1,0.9
CDC45,CENPF,0.776
CENPF,TK1,0.782
CENPF,DEPDC1,0.844
CENPF,UBE2T,0.853
CENPF,KIF4A,0.879
CENPF,HMMR,0.927
CENPF,NUSAP1,0.944
CCNA2,CENPF,0.944
CENPF,HJURP,0.946
CENPF,ZWINT,0.953
CENPF,CEP55,0.959
CENPF,KIF20A,0.96
CDCA8,CENPF,0.962
CENPF,TTK,0.967
CENPF,NEK2,0.97
CENPF,TOP2A,0.974
ASPM,CENPF,0.987
CDC20,CENPF,0.99
CEP55,DLGAP5,0.999
CCNB1,CEP55,0.94
CEP55,DEPDC1B,0.834
ANLN,CEP55,0.93
CDCA5,CEP55,0.873
BUB1B,CEP55,0.939
CCNB2,CEP55,0.907
CEP55,MELK,0.956
CEP55,PCLAF,0.861
CEP55,TPX2,0.944
CEP55,TYMS,0.767
CEP55,UBE2C,0.938
CEP55,RRM2,0.945
CENPF,CEP55,0.959
CEP55,NEK2,0.912
ASPM,CEP55,0.95
CEP55,TTK,0.945
CEP55,UHRF1,0.76
CEP55,UBE2T,0.768
CEP55,TK1,0.802
CEP55,ZWINT,0.867
CEP55,DEPDC1,0.877
CDC45,CEP55,0.896
CEP55,HJURP,0.921
CDCA8,CEP55,0.923
CCNA2,CEP55,0.923
CEP55,HMMR,0.926
CEP55,TOP2A,0.928
CEP55,NUSAP1,0.93
CDC20,CEP55,0.95
CEP55,KIF4A,0.951
CEP55,KIF20A,0.962
BPIFA1,CETP,0.764
CETP,CLU,0.887
CETP,LPL,0.94
CFD,CFP,0.845
CFP,COMP,0.748
CFP,CLU,0.717
C5AR1,CFP,0.766
CFP,FCN1,0.809
CFD,CFP,0.845
CLDN11,ESAM,0.711
CLDN11,CLDN5,0.728
CLDN18,CLDN5,0.704
CLDN11,CLDN5,0.728
CLDN5,VWF,0.92
CLDN5,ESAM,0.97
CLDN5,ROBO4,0.732
CAV1,CLDN5,0.733
CLDN18,CLDN5,0.704
CLDN5,MMP9,0.756
CLDN5,IL6,0.708
CBFB,CLDN5,0.75
CLDN5,PECAM1,0.845
CDH5,CLDN5,0.993
CLEC14A,MMRN2,0.927
CETP,CLU,0.887
CFP,CLU,0.717
CLU,CP,0.794
CLU,MMP9,0.718
CLU,SPP1,0.73
C8B,CLU,0.77
CLU,LPL,0.773
C7,CLU,0.847
CLU,SNCA,0.861
CLU,SERPINA1,0.896
COL10A1,MMP11,0.812
COL10A1,COMP,0.768
COL10A1,COL1A1,0.781
COL10A1,IBSP,0.787
COL10A1,MMP13,0.936
COL10A1,COL1A2,0.755
COL10A1,COL3A1,0.762
COL10A1,COL5A2,0.753
COL10A1,COL11A1,0.877
COL11A1,MMP11,0.732
COL11A1,COL1A1,0.965
COL11A1,COL1A2,0.992
COL11A1,COL3A1,0.965
COL10A1,COL11A1,0.877
COL11A1,THBS2,0.898
COL11A1,COL5A1,0.877
COL11A1,COL5A2,0.976
COL17A1,LAMA3,0.972
COL1A1,MMP13,0.702
COL1A1,PCOLCE2,0.703
COL1A1,IBSP,0.713
CD36,COL1A1,0.72
COL1A1,SPP1,0.747
COL1A1,ITGA8,0.765
COL1A1,MMP1,0.767
COL10A1,COL1A1,0.781
COL1A1,CTHRC1,0.795
COL1A1,THBS2,0.828
COL1A1,MMP9,0.84
COL1A1,VWF,0.877
COL1A1,ITGA1,0.879
COL11A1,COL1A1,0.965
COL1A1,SPARC,0.968
COL1A1,COL5A1,0.994
COL1A1,COL5A2,0.995
COL1A1,COL3A1,0.999
COL1A1,COL1A2,0.999
COL1A1,COL1A2,0.999
COL1A2,SPARC,0.959
COL1A2,ITGA1,0.855
COL1A2,CXCL12,0.727
CD36,COL1A2,0.735
COL1A2,ITGA8,0.747
COL10A1,COL1A2,0.755
COL1A2,THBS2,0.858
COL1A2,MMP9,0.904
COL1A2,COL5A1,0.989
COL11A1,COL1A2,0.992
COL1A2,COL5A2,0.998
COL1A2,COL3A1,0.999
COL1A1,COL3A1,0.999
COL3A1,SPARC,0.911
COL3A1,SULF1,0.748
COL3A1,ITGA1,0.723
COL1A2,COL3A1,0.999
COL3A1,CXCL12,0.739
COL3A1,MMP9,0.745
COL3A1,TGFBR2,0.75
COL10A1,COL3A1,0.762
COL3A1,THBS2,0.804
COL11A1,COL3A1,0.965
COL3A1,COL5A1,0.983
COL3A1,COL5A2,0.998
COL1A1,COL5A1,0.994
COL1A2,COL5A1,0.989
COL3A1,COL5A1,0.983
COL5A1,THBS2,0.742
COL11A1,COL5A1,0.877
COL5A1,COL5A2,0.996
COL1A1,COL5A2,0.995
COL1A2,COL5A2,0.998
COL3A1,COL5A2,0.998
COL10A1,COL5A2,0.753
COL5A2,THBS2,0.824
COL11A1,COL5A2,0.976
COL5A1,COL5A2,0.996
COL6A6,ITGA8,0.767
COMP,ITGA1,0.72
BMP2,COMP,0.737
CFP,COMP,0.748
COL10A1,COMP,0.768
CD36,COMP,0.953
CLU,CP,0.794
CP,SERPINA1,0.944
C8B,CPB2,0.716
CPB2,SERPIND1,0.764
CPB2,THBD,0.958
CD69,CR2,0.761
CD19,CR2,0.999
CD24,CR2,0.729
CR2,MME,0.795
